,RunId,iteration,Step,num_agents,num_supportive,stigma_level,support_effectiveness,acceptance_probability,refusal_gets_worse_probability,Average Depression,Mild Count,Moderate Count,Severe Count
314,317,0,50,50,10,0.7,0.9,0.9,0.5,0.54,33,7,10
315,315,0,50,50,10,0.7,0.9,0.7,0.9,0.58,33,5,12
316,314,0,50,50,10,0.7,0.9,0.7,0.7,0.56,32,8,10
317,316,0,50,50,10,0.7,0.9,0.9,0.3,0.36,39,4,7
318,319,0,50,50,10,0.7,0.9,0.9,0.9,0.42,36,7,7
319,318,0,50,50,10,0.7,0.9,0.9,0.7,0.38,38,5,7
320,320,0,50,50,10,0.9,0.1,0.3,0.3,0.7,25,15,10
321,323,0,50,50,10,0.9,0.1,0.3,0.9,0.94,20,13,17
322,322,0,50,50,10,0.9,0.1,0.3,0.7,0.84,21,16,13
323,321,0,50,50,10,0.9,0.1,0.3,0.5,0.66,28,11,11
324,324,0,50,50,10,0.9,0.1,0.5,0.3,0.68,27,12,11
325,325,0,50,50,10,0.9,0.1,0.5,0.5,0.86,22,13,15
326,328,0,50,50,10,0.9,0.1,0.7,0.3,0.68,28,10,12
327,327,0,50,50,10,0.9,0.1,0.5,0.9,0.94,20,13,17
328,326,0,50,50,10,0.9,0.1,0.5,0.7,0.98,18,15,17
329,329,0,50,50,10,0.9,0.1,0.7,0.5,1.0,14,22,14
330,330,0,50,50,10,0.9,0.1,0.7,0.7,0.96,17,18,15
331,331,0,50,50,10,0.9,0.1,0.7,0.9,0.6,31,8,11
332,332,0,50,50,10,0.9,0.1,0.9,0.3,1.04,18,12,20
333,333,0,50,50,10,0.9,0.1,0.9,0.5,0.88,23,10,17
334,334,0,50,50,10,0.9,0.1,0.9,0.7,0.56,30,12,8
335,335,0,50,50,10,0.9,0.1,0.9,0.9,0.86,19,19,12
336,336,0,50,50,10,0.9,0.3,0.3,0.3,0.6,30,10,10
337,337,0,50,50,10,0.9,0.3,0.3,0.5,0.74,24,15,11
338,338,0,50,50,10,0.9,0.3,0.3,0.7,0.88,19,18,13
339,339,0,50,50,10,0.9,0.3,0.3,0.9,1.32,12,10,28
340,341,0,50,50,10,0.9,0.3,0.5,0.5,0.58,32,7,11
341,344,0,50,50,10,0.9,0.3,0.7,0.3,0.9,23,9,18
342,340,0,50,50,10,0.9,0.3,0.5,0.3,0.42,36,7,7
343,345,0,50,50,10,0.9,0.3,0.7,0.5,0.62,29,11,10
344,343,0,50,50,10,0.9,0.3,0.5,0.9,0.96,17,18,15
345,342,0,50,50,10,0.9,0.3,0.5,0.7,0.76,24,14,12
